id,candidatoId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,fecha
28930,1,1,1,5,1,3,1,1,3,4,5,5,1,5,1,1,5,3,1,1,1,1,5,5,1,1,5,2019-02-20T00:23:59.895443
28951,17,4,5,3,1,4,5,5,5,5,3,5,1,5,1,3,5,4,4,1,5,5,4,5,3,1,5,2019-02-20T00:24:11.165208
28953,20,5,5,2,4,3,5,5,3,4,4,5,5,5,5,5,3,5,1,5,5,5,5,1,5,5,3,2019-02-20T00:24:12.682043
28960,17,3,5,2,4,1,5,3,3,5,3,3,1,5,3,1,5,5,5,1,4,4,4,4,5,3,5,2019-02-20T00:24:16.777261
28973,3,1,1,5,1,4,2,1,2,2,5,1,1,5,1,1,3,1,4,2,2,1,1,5,1,1,5,2019-02-20T00:24:23.812280
28983,17,4,5,1,4,3,5,4,5,5,2,4,2,4,2,3,4,5,3,1,1,3,4,5,1,1,5,2019-02-20T00:24:29.911259
28991,9,3,4,1,3,2,4,5,4,5,5,2,4,5,4,2,2,5,3,4,1,1,4,5,4,1,4,2019-02-20T00:24:36.469118
28995,4,3,4,4,4,4,4,4,4,4,3,4,5,5,5,3,4,3,5,2,3,1,5,5,1,1,5,2019-02-20T00:24:39.078613
28996,20,4,2,2,1,1,5,5,4,5,1,3,3,5,1,1,5,2,1,5,5,5,4,5,5,4,4,2019-02-20T00:24:39.438210
29019,9,3,5,1,3,1,5,5,5,5,1,4,5,5,5,5,5,5,1,5,5,5,5,3,4,5,5,2019-02-20T00:24:56.501567
29023,4,3,4,5,1,5,5,1,1,4,5,3,1,5,1,3,5,1,5,1,1,1,5,5,1,1,5,2019-02-20T00:24:58.843154
29027,4,2,1,5,1,5,5,3,3,5,5,5,1,5,1,1,3,1,5,1,1,1,5,5,1,1,2,2019-02-20T00:25:07.153642
29030,3,2,3,5,2,3,1,1,3,2,5,3,1,5,1,1,5,1,2,1,1,1,2,5,1,1,4,2019-02-20T00:25:09.544911
29031,11,2,5,2,5,1,5,5,5,5,5,5,4,5,5,3,4,5,1,5,5,5,5,2,4,4,5,2019-02-20T00:25:09.661839
29040,3,1,5,3,2,5,5,5,4,4,5,5,2,5,3,3,3,5,3,2,5,5,5,5,1,1,3,2019-02-20T00:25:20.948512
29049,17,3,4,1,2,1,5,3,3,5,4,3,1,5,3,4,4,5,3,4,4,4,4,3,4,3,4,2019-02-20T00:25:27.281388
29052,3,3,5,4,4,5,3,2,5,3,5,2,2,5,1,1,1,1,3,4,3,4,1,5,2,1,5,2019-02-20T00:25:30.428303
29054,9,5,5,5,1,1,5,3,5,3,5,3,5,5,3,3,5,5,3,5,3,3,5,3,1,2,3,2019-02-20T00:25:31.125148
29067,2,2,2,4,2,5,3,1,3,4,4,4,1,4,1,1,3,1,3,2,1,2,1,5,1,1,4,2019-02-20T00:25:41.956502
29075,16,1,4,3,1,2,4,4,5,4,4,5,5,5,5,3,5,5,1,5,2,4,2,4,2,1,5,2019-02-20T00:25:46.800096
29083,9,5,2,3,1,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,4,2019-02-20T00:25:56.759271
29090,9,3,5,1,3,1,5,3,5,5,3,3,4,5,4,3,4,3,4,4,3,4,5,5,3,4,5,2019-02-20T00:26:06.572783
29102,17,2,3,2,1,1,4,3,5,4,2,1,1,5,1,1,5,5,2,2,5,4,5,5,5,5,5,2019-02-20T00:26:18.980273
29103,1,3,3,4,2,4,5,5,3,4,2,4,2,3,1,4,4,1,4,2,1,1,3,5,1,1,3,2019-02-20T00:26:20.794802
29105,4,3,4,5,1,5,3,1,2,2,5,1,1,5,1,3,2,1,1,1,1,1,1,5,1,1,5,2019-02-20T00:26:23.719716
29116,16,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,1,5,5,5,1,5,2019-02-20T00:26:30.474334
29117,17,5,5,3,2,1,5,5,2,5,2,2,4,5,5,5,5,5,4,1,3,3,4,5,1,1,5,2019-02-20T00:26:31.341019
29121,17,4,5,4,5,5,5,4,3,5,1,2,1,2,2,1,4,3,2,1,1,1,3,5,1,1,5,2019-02-20T00:26:35.700564
29135,20,5,5,4,3,1,5,5,4,5,3,4,4,5,4,5,4,5,1,3,4,5,5,2,3,3,4,2019-02-20T00:26:55.980686
29140,17,3,5,2,1,1,5,5,5,5,1,1,5,5,5,5,3,5,2,3,5,5,5,5,5,1,5,2019-02-20T00:26:59.247892
29142,17,2,5,4,2,1,5,5,4,5,5,1,1,5,5,1,3,5,3,3,5,1,5,5,2,1,4,2019-02-20T00:27:00.126688
29147,16,2,5,1,1,1,5,2,4,2,3,1,5,4,5,5,5,5,1,3,5,4,5,5,5,5,5,2019-02-20T00:27:08.256563
29149,9,3,5,1,1,1,5,5,5,3,3,5,3,5,4,1,5,5,1,2,5,4,4,5,5,3,5,2019-02-20T00:27:08.864054
29159,9,4,5,2,2,1,5,5,4,4,1,2,4,5,4,3,3,5,1,4,5,5,5,5,5,5,5,2019-02-20T00:27:14.850877
29161,17,3,5,1,5,1,5,5,5,3,1,3,1,5,3,3,3,5,2,2,4,3,5,4,5,5,5,2019-02-20T00:27:15.512062
29162,16,3,5,1,3,2,5,5,4,3,3,1,5,5,4,5,5,4,1,4,4,5,5,5,4,3,5,2019-02-20T00:27:17.617463
29175,2,4,3,5,1,4,5,4,2,4,4,2,3,4,1,3,4,1,3,2,1,1,1,5,1,1,4,2019-02-20T00:27:29.597725
29177,3,3,1,5,3,5,2,2,5,2,4,1,1,3,1,1,5,1,5,1,1,1,1,5,1,1,3,2019-02-20T00:27:31.341553
29180,10,3,5,3,5,1,5,5,5,4,3,3,1,5,5,3,4,5,2,5,5,4,4,3,5,3,5,2019-02-20T00:27:35.277037
29182,16,3,5,1,5,3,5,5,5,3,3,5,1,5,3,5,3,5,1,3,1,1,1,5,3,1,5,2019-02-20T00:27:37.298019
29189,9,3,4,1,2,1,5,5,5,3,5,1,2,5,5,5,4,5,3,5,5,5,5,1,5,5,4,2019-02-20T00:27:42.729140
29191,1,2,2,5,2,4,3,1,3,2,5,2,2,5,1,1,1,1,5,3,1,3,3,5,1,1,4,2019-02-20T00:27:44.299185
29193,4,3,2,3,1,5,2,2,3,4,2,3,2,2,1,1,2,1,5,2,1,1,1,5,1,1,5,2019-02-20T00:27:45.829829
29198,3,3,5,4,3,4,5,4,5,5,5,2,5,5,2,4,5,5,3,1,1,1,3,5,1,1,5,2019-02-20T00:27:49.187368
29201,2,3,2,5,1,1,3,3,5,3,3,5,1,5,1,1,3,1,1,3,5,3,5,5,5,5,5,2019-02-20T00:27:51.026272
29209,18,5,5,2,3,1,5,5,4,5,4,1,4,5,1,2,4,4,2,1,3,1,3,1,4,3,5,2019-02-20T00:27:56.163283
29214,4,3,4,4,3,4,5,2,4,4,2,4,4,4,2,2,2,2,4,2,2,5,3,5,1,1,4,2019-02-20T00:27:59.829484
29216,16,3,5,4,5,4,5,5,2,5,3,1,1,5,2,2,5,3,5,1,1,1,5,5,1,1,3,2019-02-20T00:28:01.160728
29217,3,1,4,5,1,5,3,2,3,4,2,1,2,4,1,1,4,1,5,1,1,1,1,5,1,1,4,2019-02-20T00:28:01.997289
29228,17,1,5,4,4,3,5,4,4,4,3,2,1,1,2,4,4,4,5,1,1,5,4,5,1,1,5,2019-02-20T00:28:10.170436
29230,2,3,2,4,4,5,3,1,3,5,3,3,1,4,2,1,4,2,3,1,1,1,4,5,1,1,5,2019-02-20T00:28:11.624187
29236,16,1,5,1,1,1,5,4,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2019-02-20T00:28:15.535510
29241,2,4,2,4,3,5,2,2,3,5,4,2,1,4,1,2,2,1,3,1,1,2,1,5,1,1,4,2019-02-20T00:28:18.708323
29263,2,3,3,5,3,5,4,2,3,4,1,5,1,3,1,2,3,3,3,2,2,3,4,5,1,1,3,2019-02-20T00:28:36.847196
29269,17,3,5,1,2,3,5,4,5,5,5,1,1,5,5,3,5,4,1,3,5,5,1,1,5,5,5,2019-02-20T00:28:41.154632
29271,17,2,5,3,1,5,5,5,3,3,3,5,5,5,3,3,3,5,3,3,3,5,2,5,1,1,5,2019-02-20T00:28:42.074798
29278,17,3,5,3,3,3,4,1,4,4,3,2,1,5,1,1,4,1,3,1,2,2,5,5,5,1,4,2019-02-20T00:28:44.632430
29280,17,5,5,1,2,4,4,4,3,5,1,4,4,5,2,2,4,2,3,1,1,2,3,5,2,1,5,2019-02-20T00:28:47.384101
29284,19,1,3,5,1,1,1,1,3,2,5,1,1,5,1,1,3,1,4,1,1,1,1,5,3,1,5,2019-02-20T00:28:50.456047
29285,9,5,5,1,1,1,5,5,5,3,5,1,5,5,5,3,5,5,5,5,5,1,5,3,5,5,5,2019-02-20T00:28:51.061163
29287,17,4,5,1,1,2,1,2,4,1,1,1,1,5,3,5,4,2,1,1,1,2,1,5,1,1,5,2019-02-20T00:28:52.229472
29289,3,4,3,1,1,4,1,4,1,4,4,1,1,4,3,1,3,5,5,1,1,1,1,5,1,1,2,2019-02-20T00:28:52.777659
29296,6,3,4,3,4,3,5,3,4,4,4,4,4,4,3,1,4,5,2,3,4,5,3,3,4,2,5,2019-02-20T00:28:56.883045
29297,17,2,5,1,4,2,5,5,4,5,4,3,1,5,5,4,4,5,1,3,3,3,3,5,2,1,5,2019-02-20T00:28:57.937732
29302,16,3,3,3,4,2,5,3,4,5,5,5,2,5,5,2,2,5,2,4,4,4,5,5,5,2,5,2019-02-20T00:29:02.803939
29305,3,5,1,5,1,4,5,1,5,3,5,1,5,5,1,1,5,5,5,1,5,5,1,1,3,5,5,2019-02-20T00:29:04.592808
29308,17,2,5,2,4,5,5,4,3,5,3,5,2,5,5,5,1,1,5,1,2,1,1,5,2,1,5,2019-02-20T00:29:08.900603
